guess,exp_remaining,entropy,worst_case,partitions
jotas,728.5923527597903,4.901755992105743,1646,130
galed,728.6796176379895,5.129661090509571,1970,166
brits,728.7921677459143,5.174380866007482,1957,164
clots,728.81837804502,5.183700755378666,2042,163
rugae,728.8559975331483,5.092873957528396,1606,172
short,728.8714153561517,5.161257251762053,1912,165
trigs,728.9079555966697,5.153074758249318,1940,161
flues,729.2950971322849,5.057504241926956,1813,164
yelps,729.3731113166821,5.087017259009322,1634,152
birle,729.6399938328708,5.166707005712055,2070,162
sonly,729.6981190255935,5.163646791166395,1880,162
fraus,729.8342584027135,5.0423710693204065,1788,154
hawse,729.8495220474869,4.960827091920674,1440,150
dangs,729.9189022510021,5.116583247946118,1872,151
olent,730.0104841196423,5.037513306203571,1722,146
douts,730.0205057045945,5.178531442667019,2069,159
salts,730.1350601295097,5.143906009057757,2132,148
named,730.1745297563984,5.071022842600826,1930,161
sheaf,730.1973481344435,4.906594798696175,1608,132
jasey,730.281991982732,4.775376376861303,1595,116
nixes,730.2907801418439,4.89063521238111,1668,133
rhone,730.3270120259019,5.064448682112691,1890,147
sluit,730.4884366327475,5.181314325584843,2069,162
mauds,730.6712920135677,5.105484593209904,1895,160
ovels,730.7152328091273,4.892139328982307,1485,144
scarp,730.7722787542399,5.004201160826665,1724,151
barks,730.8267036694418,5.124637213733477,1959,166
taube,730.854609929078,5.050107213397953,1776,149
riser,731.2645698427382,4.941582680746046,1750,131
kerbs,731.2833795868023,5.0557928362182745,1865,149
redon,731.3233117483811,5.098333743480306,2065,163
deism,731.3279370952821,5.060078192405399,1743,149
terts,731.4936786925687,5.084554942192218,1841,149
poyse,731.5143385753931,5.039753654980217,1618,160
corey,731.6125501079248,5.168747416429023,2075,162
oldie,731.7294172062905,5.070520127796802,1705,159
glads,731.8489053345668,5.059854090851716,1804,155
nadir,731.8748072772124,5.118224570766,2136,166
tapir,731.917977181622,5.157009500689288,2140,161
parti,731.9296947271046,5.155124101523617,2140,165
iambs,731.9341658957755,4.963551586485906,1785,137
shent,732.1063829787234,5.128540127377909,1630,162
clons,732.1350601295097,5.11742343652654,1950,153
neath,732.3469010175763,5.08895306079906,1652,155
hiems,732.4036386062288,5.09415782084384,1689,153
puris,732.4599136601912,5.185404026709831,1993,165
draws,732.5035460992908,5.029931772804037,1749,151
mitre,732.5283687943263,5.186368704287202,2115,166
riyal,732.5761640456368,4.983768839038232,1874,145
sodas,732.7340425531914,4.984240462245918,1736,136
sexto,732.7597903176071,4.834576254785119,1596,123
wents,732.9882824545174,5.118612459162342,1776,156
tykes,733.0968239284613,4.986590273561751,1692,149
helps,733.2141535615172,5.095173737938667,1774,155
valet,733.2571692876966,4.999348008733599,1906,151
forel,733.4281529448042,5.050263632080156,2082,156
dozes,733.4310823311748,4.9412747536195845,1771,136
bimas,733.4531298180697,5.079578663954212,1785,158
idler,733.5490286771508,4.994497212035607,2063,133
recon,733.8880666049954,5.022164714973446,1928,150
chaos,733.9333950046254,5.1008999477285215,1663,166
yirds,734.0797101449275,5.056973590815791,1776,142
clean,734.0931236509405,5.075867769122377,1646,159
monie,734.1218008017267,5.170284975494199,1852,162
sperm,734.1370644465002,4.978938931969735,1678,140
nines,734.1413814369411,4.9557329006856055,1692,134
recap,734.1839346284305,5.006224450018566,1759,143
faxes,734.3057354301573,4.740853803674264,1498,121
clast,734.327166204132,5.102076439038957,1693,156
salix,734.5333024976874,4.926656284680279,1805,130
